Pet,Name,Sex,Age,Breed,Location,Province
Cat,Squirrel,Male,4 months,Domestic Short Hair,Nanaimo, B.C.
Cat,Sloth,Female,4 months,Domestic Short Hair,Nanaimo, B.C.
Cat,Ally,Female,8 years,Domestic Short Hair,Nanaimo, B.C.
Cat,Koala,Female,6 months,Domestic Short Hair,Nanaimo, B.C.
Cat,Kisses,Male,1 year,Domestic Short Hair,Nanaimo, B.C.
Cat,Harley,Female,6 years,Domestic Short Hair,Nanaimo, B.C.
Cat,Myrtle,Female,11 years,Domestic Long Hair,Nanaimo, B.C.
Cat,Misty,Female,11 years,Domestic Short Hair,Nanaimo, B.C.
Cat,Smoosh,Female,3 months,Domestic Short Hair,Victoria, B.C. 
Cat,Bentley,Male,4 years,Domestic Short Hair,Victoria, B.C. 
Cat,Davey,Male,3 months,Domestic Short Hair,Victoria, B.C. 
Cat,Bear,Male,4 years,Domestic Medium Hair,Victoria, B.C. 
Cat,Wonder,Female,3 years,Domestic Short Hair,Victoria, B.C. 
Rabbit,Bert,Male,2 years,Rex,Vancouver, B.C. 
Rabbit,Belle,Female,3 years,Dutch,Vancouver, B.C. 
Rabbit,Cashmere,Female,3 years,Californian Dwarf,Vancouver, B.C. 
Rabbit,Milly,Female,1 year,Californian Dwarf,Vancouver, B.C. 
Rabbit,Luna,Female,1 year,Californian Dwarf,Vancouver, B.C. 
Rabbit,Hudson,Female,7 months,Harlequin,Vancouver, B.C. 
Rabbit,Honey Bun ,Male,4 months,Californian Dwarf,Surrey, B.C. 
Rabbit,Spidey (bonded With Flash),Male,4 months,Californian,Surrey, B.C. 
Rabbit,Supergirl,Female,1 year,Californian,Surrey, B.C. 
Rabbit,Catwoman,Female,1 year,Californian Dwarf,Surrey, B.C. 
Rabbit,Copper,Female,1 year,Dutch,Surrey, B.C. 
Rabbit,Dorothy *in Foster,Female,2 years,American,Burnaby, B.C. 
Rabbit,Sophia,Female,2 years,American,Burnaby, B.C. 
Rabbit,Rocky,Female,1 year,Lionhead/Flemish Giant,Richmond, B.C. 
Rabbit,Pixel ,Female,1 year,Lionhead/Flemish Giant,Richmond, B.C. 
Rabbit,Dr. Patterson,Male,2 years,Lionhead,Richmond, B.C. 
Rabbit,Megalo-Bun,Female,4 years,Florida White,West Vancouver, B.C.
Rabbit,Bunzo,Male,1 year,American,West Vancouver, B.C.
Rabbit,Sneezy,Female,3 months,Himalayan,West Vancouver, B.C.
Rabbit,Dance Club Kayla,Female,3 months,Californian Dwarf,Maple Ridge, B.C. 
Rabbit,Grumpy,Female,4 months,Californian Dwarf,Maple Ridge, B.C. 
Rabbit,Happy,Male,4 months,Californian Dwarf,Maple Ridge, B.C. 
Rabbit,Ash,Female,1 year,Netherland Dwarf,Maple Ridge, B.C. 
Rabbit,Sage,Male,5 months,Dwarf,Victoria, B.C.
Rabbit,Rosemary,Female,1 year,Dwarf,Victoria, B.C.
Guinea pig,Pumpkin Spice,Female,1 month,NA,Abbotsford, B.C. 
Guinea pig,Starsky,Male,7 months,NA,Abbotsford, B.C. 
Guinea pig,Huey,Male,7 months,NA,Abbotsford, B.C. 
Guinea pig,Marshmallow,Female,3 months,NA,Abbotsford, B.C. 
Guinea pig,Atticus,Male,1 year,NA,Victoria, B.C.
Guinea pig,Isabella ,Female,3 years,NA,Victoria, B.C.
Guinea pig,Olivia ,Female,3 years,NA,Victoria, B.C.
Guinea pig,Zoë ,Female,3 years,NA,Victoria, B.C.
Guinea pig,Bernard,Male,2 years,NA,Victoria, B.C.
Guinea pig,Alan,Male,2 months,NA,Campbell River, B.C.
Guinea pig,Brad,Male,2 months,NA,Campbell River, B.C.
Guinea pig,Ken,Male,2 years,NA,Campbell River, B.C.
Guinea pig,Slash,Male,3 years,NA,Kamloops, B.C.
Guinea pig,Axl,Male,3 years,NA,Kamloops, B.C.
